縣市鄉鎮名稱,種植面積,收穫面積,每公頃收量,收量
臺北市,0.03,0.03,767,23
新北市,7.53,4.42,260,"1,151"
桃園市,1.5,0.35,"1,000",350
新竹縣,6.64,6.64,797,"5,293"
苗栗縣,4.11,4.11,936,"3,849"
臺中市,27.91,20.21,692,"13,984"
彰化縣,14.26,13.26,362,"4,799"
南投縣,141.79,141.29,"1,000","141,245"
雲林縣,50.74,50.42,"1,087","54,790"
嘉義縣,124.54,124.54,998,"124,301"
嘉義市,0.4,0.4,120,48
臺南市,59,59,"1,230","72,553"
高雄市,52.47,52.47,"1,039","54,531"
屏東縣,162.85,162.85,929,"151,247"
宜蘭縣,9.57,7.46,857,"6,395"
花蓮縣,56.64,44.1,721,"31,806"
臺東縣,154.51,140.4,"1,044","146,589"
