縣市鄉鎮名稱,種植面積,收穫面積,每公頃收量,收量
基隆市,0.03,0.03,133,4
臺北市,4.01,4.01,734,"2,941"
新北市,11.71,9.15,309,"2,826"
桃園市,20.43,11.53,579,"6,673"
新竹縣,15.78,9.8,562,"5,510"
苗栗縣,64.66,64.66,"1,108","71,666"
臺中市,47.14,46.96,724,"33,992"
彰化縣,25.62,23.94,691,"16,544"
南投縣,181.06,176.68,853,"150,692"
雲林縣,62.75,62.45,968,"60,440"
嘉義縣,155.33,154.53,732,"113,158"
嘉義市,1.1,1.1,905,996
臺南市,63.24,63.23,986,"62,333"
高雄市,79.74,79.67,766,"61,059"
屏東縣,237.08,231.8,745,"172,590"
宜蘭縣,10.46,4.73,678,"3,207"
花蓮縣,75.73,67.3,473,"31,854"
臺東縣,160.28,156.98,691,"108,459"
金門縣,0.05,0.05,350,18
