縣市鄉鎮名稱,種植面積,收穫面積,每公頃收量,收量
臺北市,0.04,0.04,825,33
新北市,10.11,6.66,270,"1,797"
桃園市,2.52,2.17,639,"1,386"
新竹縣,4.33,4.33,456,"1,975"
苗栗縣,6.17,6.17,"1,006","6,205"
臺中市,43.1,39.6,663,"26,264"
彰化縣,15.7,15.7,492,"7,729"
南投縣,131.27,129.47,336,"43,464"
雲林縣,51.17,51.17,"1,080","55,239"
嘉義縣,124.25,124.25,987,"122,677"
嘉義市,0.4,0.4,800,320
臺南市,54.56,54.56,"1,002","54,667"
高雄市,57.96,57.96,925,"53,592"
屏東縣,217.99,216.42,829,"179,435"
宜蘭縣,14.37,14.17,507,"7,182"
花蓮縣,68.72,63.91,609,"38,949"
臺東縣,173.44,172.69,904,"156,044"
