縣市鄉鎮名稱,種植面積,收穫面積,每公頃收量,收量
基隆市,0.03,0.03,133,4
臺北市,3.79,3.79,723,"2,741"
新北市,13.39,10.36,"1,735","17,970"
桃園市,17.75,12.46,561,"6,995"
新竹縣,16.77,14.47,568,"8,219"
苗栗縣,58.14,58.14,"1,287","74,846"
臺中市,37.56,37.41,696,"26,020"
彰化縣,25.62,25.62,682,"17,478"
南投縣,166.46,163.11,876,"142,935"
雲林縣,61.86,61.86,881,"54,478"
嘉義縣,160.19,159.39,630,"100,429"
嘉義市,1.1,1.1,830,913
臺南市,60.42,60.29,"1,028","61,990"
高雄市,86.64,80.8,786,"63,475"
屏東縣,234.15,229.98,692,"159,249"
宜蘭縣,10.26,9.73,681,"6,622"
花蓮縣,71.31,61.53,474,"29,144"
臺東縣,150.3,143.65,884,"126,986"
