縣市鄉鎮名稱,種植面積,收穫面積,每公頃收量,收量
臺北市,0.34,0.34,709,241
新北市,9.66,7.43,258,"1,918"
桃園市,1.47,1.37,572,783
新竹縣,5.12,5.12,485,"2,482"
苗栗縣,35.79,35.79,792,"28,336"
臺中市,46.58,46.08,705,"32,476"
彰化縣,18.23,18.23,851,"15,517"
南投縣,152.25,147.3,908,"133,727"
雲林縣,55.16,54.76,"1,061","58,112"
嘉義縣,141.17,141.17,"1,074","151,622"
嘉義市,0.4,0.4,580,232
臺南市,53.39,53.39,"1,221","65,184"
高雄市,127.54,127.34,913,"116,260"
屏東縣,216.26,216.26,720,"155,655"
宜蘭縣,16.28,16.08,736,"11,838"
花蓮縣,74.83,73.67,562,"41,406"
臺東縣,173.08,172.24,759,"130,735"
金門縣,0.05,0.05,300,15
