縣市鄉鎮名稱,種植面積,收穫面積,每公頃收量,收量
臺北市,0.04,0.04,825,33
新北市,10.39,6.3,269,"1,695"
桃園市,1.41,1.21,496,600
新竹縣,4.45,4.45,643,"2,860"
苗栗縣,8.07,8.07,"1,140","9,199"
臺中市,38.06,27.56,743,"20,473"
彰化縣,11.37,11.07,476,"5,265"
南投縣,131.82,130.22,"1,050","136,706"
雲林縣,51.76,51.34,"1,088","55,871"
嘉義縣,126.6,126.45,"1,067","134,912"
嘉義市,0.4,0.4,120,48
臺南市,54.24,54.19,"1,221","66,187"
高雄市,53.55,49.5,"1,030","50,994"
屏東縣,211.37,210.79,607,"127,934"
宜蘭縣,9.87,7.66,850,"6,513"
花蓮縣,74.5,70.45,645,"45,439"
臺東縣,158.98,152.29,899,"136,865"
