縣市鄉鎮名稱,種植面積,收穫面積,每公頃收量,收量
臺北市,0.34,0.34,318,108
新北市,10,6.71,235,"1,578"
桃園市,1.67,1.65,593,978
新竹縣,4.76,4.76,476,"2,265"
苗栗縣,25.88,25.88,661,"17,099"
臺中市,45.98,44.18,633,"27,955"
彰化縣,20.09,20.09,483,"9,708"
南投縣,136.58,136.58,858,"117,211"
雲林縣,52.7,52.5,"1,063","55,808"
嘉義縣,133.25,132.75,"1,009","133,954"
嘉義市,0.4,0.4,500,200
臺南市,54.49,54.49,"1,003","54,638"
高雄市,135.54,135.44,774,"104,797"
屏東縣,218.98,218.98,532,"116,517"
宜蘭縣,15.95,15.75,692,"10,893"
花蓮縣,70.3,69.24,565,"39,125"
臺東縣,177.26,176.76,838,"148,078"
金門縣,0.05,0.05,300,15
