縣市鄉鎮名稱,種植面積,收穫面積,每公頃收量,收量
臺北市,0.03,0.03,767,23
新北市,10.87,4.95,262,"1,299"
桃園市,1.41,1.21,355,430
新竹縣,7.74,7.74,"1,164","9,007"
苗栗縣,5.63,5.63,"1,122","6,318"
臺中市,32.01,28.91,742,"21,451"
彰化縣,10.57,10.57,465,"4,915"
南投縣,118.63,118.63,977,"115,955"
雲林縣,50.65,50.23,"1,089","54,690"
嘉義縣,123.83,123.83,"1,051","130,163"
嘉義市,0.4,0.4,120,48
臺南市,59.48,59.23,"1,186","70,229"
高雄市,51.05,50.4,"1,033","52,084"
屏東縣,210.23,202.33,980,"198,327"
宜蘭縣,12.32,10.85,863,"9,367"
花蓮縣,65.08,60.13,698,"41,975"
臺東縣,153.48,142.11,"1,111","157,842"
